Number,Label,Name,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,glide einternal,Goldscore.Fitness,Goldscore.External.HBond,Goldscore.External.Vdw,Goldscore.Internal.Torsion,Goldscore.Internal.Vdw,PLP.Fitness,PLP.Chemscore.Hbond,PLP.PLP,PLP.ligand.torsion,PLP.part.buried,PLP.part.hbond,PLP.part.nonpolar,PLP.part.repulsive,ASP.Fitness,ASP.ASP,ASP.DEClash,ASP.DEInternal,ASP.Map,Chemscore.Fitness,Chemscore.DEClash,Chemscore.DEInternal,Chemscore.DG,Chemscore.Hbond,Chemscore.Lipo,Chemscore.Rot,E_place,S_gw,E_conf_gw,E_score1_gw,E_refine_gw,S_ase,E_conf_ase,E_score1_ase,E_refine_ase,S_adg,E_conf_adg,E_score1_adg,E_refine_adg,S_ahb,E_conf,E_score1_ahb,E_refine_ahb,S_ldg,E_conf_ldg,E_score1_ldg,E_refine_ldg
1113,0,CHEMBL194802,-5.835,-0.172,-0.556,-1.289,-5.835,-2.87,-0.153,-0.443,-31.082,-8.613,0.55,-0.07400000000000001,-51.539,-39.695,9.938,3.3387,0.0623,46.3282,-11.8841,-48.5408,68.2847,0.256,-72.9496,3.6625,-6.1427,0.6505,-68.4627,0.2796,30.5423,35.006,0.12,4.3437,-175.03,28.4334,0.3522,1.7641,-30.5497,0.8279,254.5575,2.9214,-76.55905200000001,-7.348120699999999,33.634403000000006,-10.864386999999999,-43.427765,-16.844955,30.612479999999998,-10.742496000000001,-39.466709,-4.765774700000001,30.613498999999997,-10.742496000000001,-39.466446000000005,-126.38835,30.612362,-10.742496000000001,-39.471977,-11.296691000000001,30.610530999999998,-10.742496000000001,-39.477013
1114,0,CHEMBL194806,-5.755,-0.18,-0.5710000000000001,-1.289,-5.755,-2.42,-0.2,-0.5870000000000001,-37.552,-7.749,0.601,-0.11,-64.82300000000001,-45.301,6.904,6.0922,2.0,26.4156,-9.3865,-22.8427,58.5293,0.975,-56.9995,0.9372,-3.3881,-1.0,-55.2629,0.5104,23.0077,27.402,3.0536,1.3407,-137.01,31.3918,2.6794,0.9209,-34.992,1.9676,217.9508,1.0,-45.550137,-7.2805705000000005,-36.992874,-12.806956,-34.661106,-20.011938,-36.772247,-14.913392000000002,-33.671397999999996,-4.9245372000000005,-36.772247,-14.913392000000002,-33.671397999999996,-116.69682,-36.772247,-14.913392000000002,-33.671397999999996,-14.973403,-36.772247,-14.913392000000002,-33.671397999999996
1115,0,CHEMBL194807,-4.163,-0.149,-0.451,-0.961,-4.163,-2.653,-0.211,0.431,-41.844,-2.161,0.69,-0.003,-49.25100000000001,-44.005,11.349,25.1724,2.0,29.8561,-13.87,-4.0097,69.1838,0.9913,-67.1863,0.5811,-2.0768,-1.6702,-65.0454,0.2842,25.0077,26.07,0.1326,0.9297,-130.35,24.0639,0.2519,0.3741,-24.6899,1.0,162.0046,1.2049,-94.660522,-7.118969,83.853638,-11.059968,-41.441132,-13.083022,83.729912,-11.181227,-40.473171,-2.7385268,83.729912,-11.181227,-40.473171,-103.69215,83.729912,-11.181227,-40.473171,-11.13043,83.729912,-11.181227,-40.473171
1116,0,CHEMBL194911,-4.963,-0.127,-0.4320000000000001,-1.064,-4.963,-1.6869999999999998,-0.35200000000000004,-1.244,-29.172,-4.341,0.429,0.0,-44.011,-33.513000000000005,6.409,47.631,1.0602,44.911,-14.4268,-0.7549,76.2737,1.0458,-76.4589,2.8553,-11.4252,-2.1715,-66.1339,0.6801,34.6409,40.406,2.2553,3.5098,-202.03,27.7316,2.2237,0.7363,-30.6916,1.0912,206.2127,1.0,-71.805183,-7.6963329,-82.335266,-11.552797,-44.726559,-15.823732000000001,-82.26520500000001,-12.624601,-43.897087,-4.0896797,-82.265511,-12.624601,-43.896889,-111.45156999999999,-82.265579,-12.624601,-43.896851,-12.571927,-82.26557199999999,-12.624601,-43.896851
1117,0,CHEMBL194954,-4.502,-0.141,-0.447,-1.008,-4.502,-1.955,0.0,-1.244,-33.673,-0.5479999999999999,0.468,-0.005,-41.91,-34.222,4.572,26.8899,2.0,24.8522,-14.6413,5.3595,46.3741,1.0,-44.9262,2.8221,-2.6534,-1.0,-41.8698,0.1981,16.1254,20.598000000000006,0.6949,3.7776,-102.99,20.6675,0.8691,0.2595,-21.7961,1.9908,104.5017,1.0,-102.23446,-6.5855918,-88.12571,-13.010275,-41.224987,-9.9888926,-88.21461500000001,-11.327621,-39.998577000000004,-2.7633349999999997,-88.21461500000001,-11.327621,-39.998577000000004,-126.26223,-88.21461500000001,-11.327621,-39.998577000000004,-11.291205,-88.21461500000001,-11.327621,-39.998577000000004
1118,0,CHEMBL195032,-7.841,-0.224,-0.733,-1.721,-7.841,-4.081,0.0,-0.507,-50.159,-7.7189999999999985,0.476,-0.064,-88.594,-57.878,5.172999999999999,68.4777,0.0,59.5364,-11.1832,-2.2016,89.03200000000002,0.976,-84.4547,2.0352,-3.9618,-3.2347,-79.4362,0.2334,39.8287,44.38800000000001,1.487,3.0724,-221.94,34.8959,0.9762,1.6605,-37.5327,0.0,310.1925,1.6562,-79.832809,-6.9997082,-79.42100500000001,-10.405981,-30.149485,-16.265995,-82.151489,-13.023973,-31.379310999999998,-5.3769865,-82.1399,-13.023973,-31.390776000000002,-120.13277,-82.13942,-13.023973,-31.389640999999997,-12.216475,-82.145332,-13.023973,-31.373289
1119,0,CHEMBL195065,-5.756,-0.18,-0.5710000000000001,-1.289,-5.756,-2.914,0.0,-1.114,-44.377,0.96,0.394,-0.047,-57.669,-43.417,2.208,52.0631,0.0,41.0543,-3.4942,-0.8924,73.0858,0.0,-74.5116,0.7323,-9.3233,0.0,-66.2837,0.1208,29.0126,32.684,2.6386,1.0328,-163.42,29.7251,2.8201,1.0465,-33.5917,1.9192,228.3165,1.9576,-59.138573,-6.813773599999999,-11.525551,-12.591491,-31.452227,-12.712221000000001,-11.426927000000001,-12.946222,-30.643744,-6.463843799999999,-11.426919999999999,-12.946222,-30.643749,-95.2491,-11.426922,-12.946222,-30.643746999999998,-12.923247,-11.426926,-12.946222,-30.643745000000003
1120,0,CHEMBL195128,-6.216,-0.207,-0.644,-1.412,-6.216,-3.051,-0.16,-0.845,-45.018,-4.382,0.8370000000000001,-0.08800000000000001,-60.285,-49.4,15.709,30.814,0.0933,47.7236,-11.7558,-23.1433,71.0192,0.0,-73.3216,1.3626,-8.2731,0.0,-67.1315,0.3764,29.108,33.224000000000004,2.6967,1.4193,-166.12,34.1623,2.5578,0.9217,-37.6418,1.9434,254.646,1.6104,-70.420433,-7.173733199999999,-151.96518999999998,-13.003977,-41.080208,-16.04073,-151.89412,-12.256016,-41.372669,-3.5443797,-151.89413000000002,-12.256016,-41.372669,-116.74208999999999,-151.89439,-12.256016,-41.372627,-12.385232,-151.89413000000002,-12.256016,-41.372669
1121,0,CHEMBL195163,-4.447,-0.14800000000000002,-0.461,-1.01,-4.447,-1.836,0.0,-1.352,-33.504,-0.529,0.541,-0.045,-41.458,-34.033,4.3260000000000005,40.2744,4.6733,32.0639,-13.2014,4.7147,65.6903,2.6177,-61.9151,2.9907,-3.5066,-3.1778,-57.5295,0.1302,25.246,27.674,0.0181,2.41,-138.37,19.6811,2.7883,0.2851,-22.7545,0.9503,142.3963,1.0,-104.95045,-6.9418712,-106.8548,-14.196417000000002,-39.535446,-13.533937,-108.08563999999998,-13.22684,-38.028853999999995,-3.5250623,-108.08353000000001,-13.22684,-38.041492,-110.20758000000001,-108.08903000000001,-13.22684,-38.023582,-13.557741,-108.08198999999999,-13.22684,-38.046349
1122,0,CHEMBL195188,-6.386,-0.173,-0.575,-1.385,-6.386,-3.774,0.0,-0.084,-44.381,-6.622999999999998,0.684,0.0,-73.433,-51.004,6.997000000000001,52.758,0.7936,48.419,-7.9151,-6.6967,88.5619,0.5760000000000001,-87.2239,2.339,-7.4438,-2.0,-79.4013,0.1647,28.5019,31.554,0.0067,3.0454,-157.77,35.6081,0.2022,0.5143,-36.3245,1.4746,252.8019,1.429,-90.165001,-7.5786166,45.070015000000005,-11.559644,-42.303383000000004,-16.409637,45.268459,-13.257431,-43.260329999999996,-5.0141573,45.268459,-13.257431,-43.260329999999996,-123.17811999999999,45.268459,-13.257431,-43.260329999999996,-13.324842000000002,45.268459,-13.257431,-43.260329999999996
1123,0,CHEMBL195212,-6.815,-0.207,-0.662,-1.516,-6.815,-3.823,0.0,-0.405,-47.613,-3.365,0.309,-0.01,-72.42,-50.978,5.021,56.8523,0.0,45.0538,-5.5303,0.4336,82.0493,0.0,-83.7259,1.0462,-5.4441,-1.0,-78.6264,0.024,32.6248,35.018,1.7318,0.6615,-175.09,33.3154,1.7318,0.298,-35.3452,0.2909,279.2655,1.4767,-79.265823,-6.7998880999999995,78.10266899999999,-10.29204,-33.715782,-17.018814000000003,78.131279,-12.236582,-32.061588,-4.3645391,78.131279,-12.236582,-32.061588,-96.658752,78.131279,-12.236582,-32.061588,-12.146719000000001,78.131271,-12.236582,-32.061588
1124,0,CHEMBL195216,-5.263,-0.16399999999999998,-0.522,-1.179,-5.263,-2.46,0.0,-0.8540000000000001,-35.769,-2.938,0.324,-0.045,-54.19,-38.707,3.147,52.2538,0.0,43.4844,-6.7547,-0.7826,82.2356,0.1911,-83.8892,1.3253,-5.0891,-1.0,-79.6546,0.0275,31.5871,32.676,0.04,1.0489,-163.38,32.3854,0.2144,0.7467,-33.3465,0.0766,270.5048,1.5774,-45.300838,-6.1260452,56.900238,-11.224822999999999,-30.957096000000003,-12.185818,56.714279000000005,-11.29388,-28.93491,-4.3252902,56.715095999999996,-11.29388,-28.936953999999997,-78.585121,56.713981999999994,-11.29388,-28.934703999999996,-11.196197999999999,56.713234,-11.29388,-28.934659999999997
1125,0,CHEMBL195232,-9.579,-0.416,-1.1840000000000002,-2.316,-9.579,-4.126,-0.32,-2.74,-39.307,-5.336,0.3720000000000001,0.0,-69.987,-44.643,0.402,53.0655,0.7707,40.2467,-4.2479,1.2035,72.7817,0.0,-75.4675,1.3357,-3.9803,0.0,-73.5114,0.083,36.752,38.464,0.0659,1.646,-192.32,31.9952,0.0717,0.6903,-32.7572,0.9953,235.2372,1.3945,-62.358047,-5.8495336,-7.206152900000001,-9.949645,-32.204819,-10.174299000000001,-7.355115400000001,-9.7492113,-31.601955,-3.8858986000000004,-7.3564929999999995,-9.7492113,-31.600613,-102.78558000000001,-7.3574758000000005,-9.7492113,-31.601728,-9.7362299,-7.355299900000001,-9.7492113,-31.601631
1126,0,CHEMBL195238,-8.055,-0.224,-0.7390000000000001,-1.757,-8.055,-3.513,-0.5770000000000001,-0.7170000000000001,-43.387,-9.125,0.38,-0.09,-83.353,-52.512,8.014,21.0882,0.0,44.499,-15.4862,-24.6117,74.6499,0.0,-76.2442,2.225,-5.0485,0.0,-72.5446,0.1907,20.5693,25.8,2.9977,2.233,-129.0,26.5939,3.0027,0.6678,-30.2643,0.0,247.5147,1.6308,-67.113907,-7.485879400000001,-83.52847299999999,-11.918103,-40.61554,-12.1309,-83.570686,-11.64973,-39.232468,-5.364607299999999,-83.570686,-11.64973,-39.232468,-100.61205,-83.570686,-11.64973,-39.232468,-11.618432,-83.570686,-11.64973,-39.232471000000004
1127,0,CHEMBL195311,-7.777,-0.409,-1.092,-1.972,-7.777,-3.982,-0.32,-1.614,-34.741,-2.454,0.244,0.0,-53.957,-37.195,1.0659999999999998,37.1074,0.7996,36.0421,-14.2599,1.0099,68.2753,1.0,-66.999,1.4998,-1.9315,-3.1195,-63.38399999999999,0.0,30.336,35.2,3.7189,1.1451,-176.0,28.861,3.803,0.166,-32.83,0.8321,243.6087,1.5357,-50.416145,-5.4250426,-19.988749,-10.74138,-26.278053000000003,-9.4361115,-20.016385999999997,-9.845476199999998,-25.323406,-4.521520099999999,-20.018562,-9.845476199999998,-25.323071,-71.004204,-20.01856,-9.845476199999998,-25.323069,-9.810626,-20.018564,-9.845476199999998,-25.323072
1128,0,CHEMBL195314,-6.7879999999999985,-0.2,-0.647,-1.5,-6.7879999999999985,-2.449,-0.32,-0.383,-35.063,-14.079,0.496,-0.267,-78.87100000000002,-49.142,4.657,40.5741,0.0,38.6364,-11.0831,-1.4679,72.1636,0.9979,-69.6121,1.4698,-8.4425,-4.0,-58.3777,0.4175,23.8771,26.006,0.3097,1.8192,-130.03,24.1719,0.6238,0.2478,-25.0435,1.5408,173.5306,2.2992,-60.21530500000001,-7.494861599999999,-98.19792199999999,-12.250271000000001,-47.637035,-10.327539,-98.093887,-13.86065,-47.43766,-3.7358005,-98.093887,-13.86065,-47.43766,-57.969207999999995,-98.093887,-13.86065,-47.43766,-13.892487,-98.093887,-13.86065,-47.43766
1129,0,CHEMBL19535,-7.865,-0.183,-0.6409999999999999,-1.652,-7.865,-3.761,-0.434,-0.679,-51.582,-7.115,0.6990000000000001,-0.043,-85.741,-58.697,14.452,40.0799,1.2928,47.3053,-10.5213,-15.7363,88.3199,1.0,-86.9448,2.0178,-7.7168,-3.0,-77.6987,0.1335,42.8209,46.7,0.2247,3.6544,-233.5,34.8414,0.4672,1.9282,-37.2368,0.4299,352.285,4.2564,-46.143227,-8.535699800000002,42.508156,-11.896761999999999,-52.007759,-16.846834,42.54805,-13.711819,-51.004025,-5.8547782999999995,42.548046,-13.711819,-51.004025,-123.97882,42.548046,-13.711819,-51.004025,-13.683776000000002,42.548046,-13.711819,-51.004025
1130,0,CHEMBL195431,-4.105,-0.13699999999999998,-0.425,-0.933,-4.105,-1.829,-0.16,-0.677,-31.927,-4.065,0.815,-0.048,-42.33,-35.991,10.342,31.2814,1.5418,45.8384,-4.3486,-28.9397,74.319,0.8959999999999999,-73.1361,1.0648,-6.4239,-1.0,-66.9513,0.4674,22.5972,25.044,0.9845,1.4623,-125.22,29.3018,0.6115,0.7614,-30.6747,0.8736,227.7424,1.7066,-66.155022,-7.3722811,-151.6703,-12.067271,-43.017525,-14.891582000000001,-151.43407,-12.48628,-42.48103,-3.1021383,-151.4341,-12.48628,-42.480698,-104.9143,-151.43364,-12.48628,-42.480709000000004,-12.601962,-151.43405,-12.48628,-42.480644
1131,0,CHEMBL195466,-7.113,-0.203,-0.665,-1.561,-7.113,-4.046,0.0,-0.4,-49.022,-3.823,0.365,-0.006999999999999999,-73.124,-52.845,7.647,37.9742,0.0228,47.4184,-9.4664,-17.7825,91.1549,0.9913,-91.8879,2.0866,-7.2133,-2.0,-85.5907,0.1023,41.181,44.556,1.6224,1.7526,-222.78,35.9447,1.5583,1.5002,-39.0033,0.9809,304.6448,2.108,-57.3148,-6.5156007,58.229351,-12.162153,-36.386299,-8.808021499999999,58.258858,-13.250138,-35.601535999999996,-3.0682495,58.258862,-13.250138,-35.60154,-72.975433,58.258862,-13.250138,-35.60154,-13.253693,58.258862,-13.250138,-35.60154
1132,0,CHEMBL195615,-5.8420000000000005,-0.195,-0.605,-1.327,-5.8420000000000005,-1.06,-0.456,-0.536,-32.503,-16.18,0.446,-0.185,-61.537,-48.683,5.276,33.185,8.4138,30.577,-19.9475,2.6753,53.7568,1.885,-49.1137,3.0368,-7.3657,-1.9394,-41.3912,0.5165,26.5466,28.194000000000006,0.3459,1.3015,-140.97,24.0332,0.4051,0.0568,-24.495,0.0,162.5218,0.0,-76.113304,-7.0411053,-136.6418,-11.587126,-36.71986,-14.109484,-136.52203,-11.506679,-35.830002,-4.7660885,-136.52203,-11.506679,-35.830002,-127.71603,-136.52203,-11.506679,-35.830002,-11.656011,-136.52203,-11.506679,-35.830002
1133,0,CHEMBL195905,-4.8439999999999985,-0.161,-0.502,-1.101,-4.8439999999999985,-1.658,-0.16,-1.311,-38.056,-2.323,0.5870000000000001,-0.05,-52.827,-40.379,1.324,33.7001,0.0,32.7103,-6.7742,-4.5023,63.8527,0.0,-67.6949,2.1713,-4.3681,-1.0,-64.8398,0.6728,25.4689,28.278,0.4602,2.3489,-141.39,25.164,1.2146,2.1316,-28.5102,1.7781,180.2788,1.5630000000000002,-76.14534,-6.943469,48.347396999999994,-11.529763,-35.088097,-15.465201,48.565762,-11.775286,-34.054173,-4.0373678,48.565765,-11.775286,-34.054169,-97.76816600000001,48.565792,-11.775286,-34.054199,-11.809919,48.565758,-11.775286,-34.054165000000005
1134,0,CHEMBL195962,-5.349,-0.149,-0.491,-1.167,-5.349,-2.931,-0.017,-0.588,-42.99100000000001,-1.297,0.579,-0.049,-57.96,-44.288,4.881,8.5093,0.3476,42.7339,-7.4687,-43.1287,78.832,1.5759999999999998,-74.5683,0.9728,-4.987,-3.1609,-66.9742,0.0,27.4254,33.61,0.7915,5.3931,-168.05,31.974,1.2893,2.3062,-35.5694,1.897,267.3802,2.9414,-106.31573999999999,-7.4530678,109.85876,-11.118171,-41.532818,-15.412783,109.92331000000001,-11.873961,-40.633472,-4.9977198,109.92331000000001,-11.873961,-40.633472,-121.35763,109.92331000000001,-11.873961,-40.633472,-11.882833,109.92331000000001,-11.873961,-40.633472
1135,0,CHEMBL196001,-6.046,-0.224,-0.672,-1.4069999999999998,-6.046,-2.365,-0.423,-1.199,-38.341,-5.78,0.738,-0.012,-52.533,-44.122,15.491,20.8825,0.0,29.3755,-18.3,-1.2088,66.6404,1.0,-64.7545,0.6857,-4.4838,-1.1189,-60.4569,0.3639,24.933000000000003,27.058000000000003,0.3354,1.7897,-135.29,25.8998,0.7792,0.9617,-27.6408,1.8,138.023,0.0,-70.01007800000001,-7.2796487999999995,44.866219,-11.459538,-41.448643,-14.474255,44.864288,-12.004745,-40.943676,-4.9308805,44.864288,-12.004745,-40.943676,-142.03645,44.864288,-12.004745,-40.943676,-11.990608,44.864288,-12.004745,-40.943676
1136,0,CHEMBL196182,-8.889,-0.254,-0.831,-1.951,-8.889,-3.028,-0.53,-1.178,-37.147,-16.79,0.394,-0.17,-97.905,-53.937,2.396,35.1315,0.0,42.8844,-15.2243,-8.6103,76.4909,0.0,-78.003,2.4051,-6.1533,-1.9497,-71.1478,0.1781,20.9012,28.348000000000006,4.8261,2.6207,-141.74,24.7516,4.618,1.1851,-30.5547,0.9576,239.4737,2.3992,-77.857796,-7.3426304,-81.27877,-10.744421,-43.776283,-13.922729,-80.831108,-11.5556,-42.350418,-3.6524296,-80.833221,-11.5556,-42.361511,-104.02201,-80.830437,-11.5556,-42.351231,-11.433145,-80.829391,-11.5556,-42.3727
1137,0,CHEMBL196374,-6.315,-0.191,-0.614,-1.404,-6.315,-2.2230000000000003,-0.435,-0.945,-31.326,-10.336,0.552,-0.14800000000000002,-53.972,-41.662,9.009,12.7431,0.107,31.7022,-3.6797,-27.2747,56.5235,0.9913,-56.1881,1.8068,-2.6645,-1.0,-53.0733,0.0196,25.2755,30.586,0.0515,5.259,-152.93,20.5956,0.4268,1.8038,-22.8262,1.0,185.901,3.0251,-62.941612,-7.6142273000000005,73.204033,-11.31811,-45.752628,-16.970192,73.035202,-11.668238,-44.957336,-3.5330553,73.035202,-11.668238,-44.957336,-111.37111000000002,73.035202,-11.668238,-44.957336,-11.61722,73.035202,-11.668238,-44.957336
1138,0,CHEMBL196450,-6.775,-0.212,-0.672,-1.517,-6.775,-2.799,-0.32,-1.279,-41.544,-4.68,0.435,-0.032,-64.873,-46.224,1.5530000000000002,41.2311,0.0824,36.2396,-6.9118,-1.769,67.1218,0.3838,-67.143,1.711,-8.6656,-1.3751,-59.2391,1.664,27.7977,29.928,0.0444,2.0859,-149.64,26.52,0.0291,0.6036,-27.1526,0.0,216.0709,1.4092,-76.855011,-6.9030781,21.221601,-10.830492999999999,-37.39011,-16.20101,21.394007000000002,-11.64504,-36.884956,-3.6494396,21.391161,-11.64504,-36.886482,-112.06253999999998,21.390549,-11.64504,-36.886814,-11.685861000000001,21.393557,-11.64504,-36.884789000000005
1139,0,CHEMBL196637,-4.723,-0.175,-0.525,-1.099,-4.723,-2.072,-0.006999999999999999,-0.954,-40.045,-2.475,0.6829999999999999,0.0,-53.203,-42.52,3.688,35.5089,0.0,36.0603,-14.5608,0.4868,58.4045,0.0,-60.3641,1.1397,-6.6160000000000005,0.0,-54.7742,0.3136,24.4965,25.626,0.287,0.8425,-128.13,22.7279,0.2973,0.4037,-23.4289,0.7855,156.7918,1.1795,-66.046097,-6.773947200000001,48.365417,-10.805292,-35.14645,-16.660393,48.313221,-10.660436,-33.655418,-3.0840139,48.313221,-10.660436,-33.655418,-133.41008,48.313221,-10.660436,-33.655418,-10.610974,48.313221,-10.660436,-33.655418
1140,0,CHEMBL196687,-5.184,-0.179,-0.5489999999999999,-1.187,-5.184,-2.423,-0.249,-0.91,-38.26300000000001,-1.82,0.6,-0.016,-49.62300000000001,-40.083,7.1560000000000015,-26.5686,0.0,38.5439,-45.3294,-34.236999999999995,65.8774,0.0,-67.6522,1.2598,-8.3247,0.0,-63.67,2.6358,26.4254,28.632,1.4129,0.7938,-143.16,26.9408,2.4595,0.0279,-29.4283,1.5074,189.5123,1.2732,-58.092804,-7.3404379,55.68806800000001,-10.382039,-41.846592,-13.961366,55.638645,-10.194382000000001,-40.931595,-3.4231391,55.638638,-10.194382000000001,-40.931591,-84.504051,55.638638,-10.194382000000001,-40.931591,-10.174767,55.638645,-10.194382000000001,-40.931595
1141,0,CHEMBL196742,-6.572,-0.263,-0.769,-1.558,-6.572,-3.609,0.0,-1.287,-36.892,-1.167,0.343,0.0,-53.307,-38.059,2.869,41.6681,0.0,34.768,-3.1353,-3.0026,70.5051,0.0,-72.3275,1.4687,-6.5788,0.0,-67.5114,0.2763,37.5025,40.77,1.7382,1.5294,-203.85,33.6685,3.0487,0.7959,-37.5131,1.4397,266.6897,1.5541,-84.504425,-6.1160669,9.0261641,-12.118306,-31.124275,-11.513810000000001,8.9573536,-10.00334,-30.469032000000002,-3.6307267999999997,8.9573536,-10.00334,-30.469032000000002,-96.438911,8.9573536,-10.00334,-30.469032000000002,-9.966348599999998,8.9573536,-10.00334,-30.469032000000002
1142,0,CHEMBL196855,-5.113,-0.15,-0.487,-1.13,-5.113,-3.015,0.0,-0.537,-41.50100000000001,-0.632,0.613,-0.004,-54.57100000000001,-42.132,2.964,41.8533,0.0654,34.3956,-7.1869,1.6808,57.3723,0.8320000000000001,-57.0496,3.3483,-7.2317,-1.0,-50.7148,0.3661,27.5235,30.388,0.0957,2.7688,-151.94,30.1239,0.9973,0.4195,-31.5408,2.6535,184.6104,1.7192,-47.804634,-7.1653299,64.41999799999999,-10.028267999999999,-36.982849,-14.859263,64.34393299999999,-12.037983,-36.456989,-4.5479631,64.34416999999999,-12.037983,-36.457347999999996,-107.16238999999999,64.34416999999999,-12.037983,-36.457347999999996,-11.978594000000001,64.34393299999999,-12.037983,-36.456989
1143,0,CHEMBL197032,-7.555,-0.204,-0.68,-1.638,-7.555,-3.2510000000000003,-0.4,-0.5660000000000001,-40.579,-10.775,0.408,-0.1,-84.912,-51.355,5.058,11.6801,6.0,23.5006,-12.8723,-13.761,80.2937,1.0,-80.5389,2.9723,-5.5915,-1.0,-76.5674,0.1166,32.5222,37.356,1.7651,3.0687,-186.78,40.0898,1.4223,1.2284,-42.7405,0.7669,335.7771,1.7918,-38.945842999999996,-7.1713076000000004,-118.2624,-11.618258,-39.651428,-12.144989,-118.3186,-12.672086,-38.475433,-5.0158176,-118.31849,-12.672086,-38.475651,-102.17765,-118.31868999999999,-12.672086,-38.475464,-12.638339,-118.31858999999999,-12.672086,-38.475395
1144,0,CHEMBL197041,-5.561,-0.132,-0.46,-1.1740000000000002,-5.561,-2.903,0.0,-0.355,-43.54,-2.457,0.348,-0.105,-53.93899999999999,-45.997,11.380999999999998,40.8016,0.0,41.2419,-7.9629,-7.943,58.5628,0.0,-61.4169,3.8118,-9.2342,0.0,-52.4712,0.2631,32.0121,37.996,0.7128,5.2712,-189.98,30.3961,0.2559,2.1145,-32.7665,1.9142,207.4082,1.3178,-69.459183,-7.699388000000001,-44.764511,-10.355225,-43.045734,-15.228549,-44.789356,-11.475324,-42.442139000000005,-4.0260839,-44.789352,-11.475324,-42.442135,-124.02963999999999,-44.789352,-11.475324,-42.442135,-11.453449,-44.789356,-11.475324,-42.442139000000005
1145,0,CHEMBL197100,-6.2170000000000005,-0.183,-0.5920000000000001,-1.374,-6.2170000000000005,-4.074,0.0,-0.887,-41.077,1.569,0.563,0.0,-51.603,-39.508,8.285,-31.932,0.0,36.9078,-2.5639,-80.1162,72.1181,0.0,-74.5895,0.8071,-5.9815,-1.0,-68.1435,0.2009,28.4828,34.558,0.0965,5.9787,-172.79,31.9497,0.6152,2.3473,-34.9122,0.9729,281.4923,2.6374,-80.081039,-7.3587179,26.901654999999998,-10.071077,-41.195492,-17.031469,25.212298999999998,-11.232574000000001,-39.599026,-3.8568101,25.223812,-11.232574000000001,-39.625854,-113.6102,25.213642,-11.232574000000001,-39.604107,-11.138569,25.212652,-11.232574000000001,-39.598701
1146,0,CHEMBL197115,-5.439,-0.272,-0.738,-1.361,-5.439,-1.921,0.0,-1.702,-29.921,-6.3679999999999986,0.721,-0.085,-45.489,-36.289,9.277,26.7777,0.0,25.9586,-9.2239,0.3085,52.7391,1.0,-49.9649,1.1226,-5.7847,-1.0,-44.8753,0.3078,16.0388,19.674,0.5334,3.1018,-98.37,23.9401,4.0723,0.6099,-28.6223,2.9501,163.8701,2.2983,-64.101776,-5.47891,0.072838798,-11.710271,-27.925508,-9.8167353,0.17365250000000002,-10.735607,-27.522935999999998,-2.3931451,0.17365947,-10.735607,-27.522942999999998,-59.110519,0.17365976,-10.735607,-27.522940000000002,-10.810506,0.17364262,-10.735607,-27.522932
1147,0,CHEMBL197161,-7.815,-0.244,-0.775,-1.75,-7.815,-4.276,-0.154,-0.763,-43.879,-5.945,0.539,-0.075,-66.426,-49.824,14.265999999999998,-5.9289999999999985,0.0,35.8863,-6.8464,-48.4262,78.0974,0.0,-78.8637,1.4919,-6.2269,0.0,-73.1401,0.1328,31.0461,33.802,0.2716,2.4843,-169.01,33.4542,0.1415,0.0035,-33.5991,0.0487,285.1764,2.113,-64.617271,-7.887154600000001,30.659567,-9.8583775,-45.480591,-16.762589000000002,29.583212,-11.754128,-45.257576,-4.1121992999999994,29.586309000000004,-11.754128,-45.259678,-131.395,29.583981,-11.754128,-45.257225,-11.910254,29.582195000000002,-11.754128,-45.259232
1148,0,CHEMBL197237,-5.607,-0.208,-0.623,-1.305,-5.607,-2.471,0.0,-1.081,-44.607,-2.504,0.649,-0.099,-57.952,-47.112,9.996,33.2668,0.0,32.5962,-6.7361,-4.8169,58.7484,0.0,-60.8741,3.1557,-8.138,-2.0,-52.1694,0.3781,29.88,33.594,0.7005,3.0135,-167.97,25.2395,0.5038,0.8823,-26.6256,0.8752,187.7274,1.4615,-63.076632999999994,-6.6953745,56.812560999999995,-10.538844000000001,-36.080719,-9.4048481,56.487762,-10.358417999999999,-35.733185,-2.2006235,56.487766,-10.358417999999999,-35.733181,-75.899551,56.487766,-10.358417999999999,-35.733181,-10.189629,56.487762,-10.358417999999999,-35.733185
