number,name,Label,E_place,S,E_conf,E_score1,E_refine,S(2),E_conf(2),E_score1(2),E_refine(2),S(3),E_conf(3),E_score1(3),E_refine(3),S(4),E_conf(4),E_score1(4),E_refine(4),S(5),E_conf(5),E_score1(5),Goldscore.Fitness,Goldscore.External.HBond,Goldscore.External.Vdw,Goldscore.Internal.Torsion,Goldscore.Internal.Vdw,PLP.Fitness,PLP.Chemscore.Hbond,PLP.PLP,PLP.ligand.torsion,PLP.part.buried,PLP.part.hbond,PLP.part.nonpolar,PLP.part.repulsive,ASP.Fitness,ASP.ASP,ASP.DEClash,ASP.DEInternal,ASP.Map,Chemscore.Fitness,Chemscore.DEClash,Chemscore.DEInternal,Chemscore.DG,Chemscore.Hbond,Chemscore.Lipo,Chemscore.Rot,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,glide einternal
1282,ZINC09323483,0,-94.866646,-5.4197431,24.922388,-11.798466,-44.005211,-129.66673,24.922663,-11.798466,-44.009758,-19.739519,24.928493,-11.798466,-44.015553,-8.4963417,25.073568,-10.167589,-45.15958,-2.5891802,6.406424,-2.5891802,55.2453,7.8805,46.5967,-9.7841,-6.9217,86.2651,1.3088,-79.6669,1.6964,-9.7,-1.0592,-72.1084,0.1729,34.1264,38.782,1.0044,3.6512,-193.91,31.1851,0.9997,0.8196,-33.0044,0.3603,262.4949,1.7152,-6.952,-0.211,-0.676,-1.546,-6.952,-3.845,0,-0.467,-50.242,-4.281,0.608,-0.094,-71.668,-54.523,10.722
1283,ZINC09324683,0,-67.643875,-3.6800611,-113.74663,-11.24814,-41.756191,-94.266151,-113.75036,-11.24814,-41.751366,-16.248428,-113.7497,-11.24814,-41.75206,-8.1029501,-113.70119,-10.019039,-42.664974,-2.5014553,-126.01446,-2.5014553,46.6692,0,42.5536,-6.9375,-4.9045,66.3486,0,-67.7836,1.6091,-8.6828,0,-60.6672,0.2847,21.6246,24.914,0.088,3.2014,-124.57,23.6166,0.316,0.6648,-24.5974,0,211.2785,2.1884,-5.806,-0.194,-0.601,-1.319,-5.806,-3.158,-0.363,-0.255,-44.45,-3.449,0.785,-0.074,-63.028,-47.9,10.345
1284,ZINC09324718,0,-63.891979,-5.5194812,33.398235,-11.224103,-31.100903,-117.16177,33.397861,-11.224103,-31.100851,-19.006578,33.392448,-11.224103,-31.096716,-6.7943945,33.395802,-9.8960524,-31.772493,-2.8910503,25.211292,-2.8910503,33.9098,0.4785,27.4467,-7.2083,2.9005,51.5357,1,-51.5842,1.526,-4.7271,-1,-46.3778,0.0977,24.6651,27.66,2.9125,0.0823,-138.3,24.9742,1.9408,0.0293,-26.9443,0,205.3356,1,-5.258,-0.21,-0.615,-1.246,-5.258,-0.774,-0.127,-1.143,-20.904,-16.068,0.341,-0.1,-49.702,-36.972,0.609
1285,ZINC09324718,0,-83.220184,-4.7409296,25.904787,-10.651389,-30.686739,-114.17494,25.904051,-10.651389,-30.686432,-16.224674,25.904467,-10.651389,-30.686296,-7.0839243,25.77162,-10.3229,-31.074322,-2.8910503,14.005013,-2.8910503,43.0731,6.7496,26.11,-0.0914,0.5136,56.8825,1.7638,-51.8157,0.1131,-5.0317,-1.7744,-46.157,0,20.5506,22.164,1.5447,0.0687,-110.82,25.2822,1.6547,0.0499,-26.9867,0.92,179.4358,1,-6.832,-0.273,-0.799,-1.619,-6.832,-1.979,-0.608,-1.66,-30.037,-9.165,0.341,-0.05,-52.604,-39.202,1.919
1286,ZINC09333884,0,-88.653976,-4.9734464,-35.100323,-12.936975,-35.076878,-143.51784,-35.10078,-12.936975,-35.075008,-19.523613,-35.095757,-12.936975,-35.083443,-8.1414146,-35.083836,-10.972354,-36.387875,-2.9263444,-84.719864,-2.9263444,-0.8613,0,31.3497,-13.5469,-30.4202,46.824,0.656,-46.2939,1.4051,-5.1351,-1,-39.6822,0.066,14.065,17.286,0.0455,3.1755,-86.43,18.4803,0.4775,0.5691,-19.5269,0.9992,146.338,2.5046,-5.191,-0.192,-0.577,-1.208,-5.191,-1.746,-0.179,-0.752,-38.433,-4.712,0.216,-0.101,-59.727,-43.145,2.55
1287,ZINC09334823,0,-65.497238,-6.8297687,-41.549271,-12.942348,-19.064253,-139.67616,-41.550331,-12.942348,-19.070082,-21.633261,-41.546715,-12.942348,-19.069347,-6.9370828,-41.530411,-10.059588,-18.751711,-2.9522498,-61.901295,-2.9522498,42.2223,0.064,33.265,-6.9424,3.3613,68.8236,1.496,-65.5778,1.6609,-5.8201,-2,-58.4649,0.264,27.429,39.084,8.5621,3.0928,-195.42,30.3866,10.661,0.8473,-41.8949,0.9089,307.1735,1,-5.911,-0.191,-0.599,-1.333,-5.911,-2.859,-0.128,-0.611,-37.644,-3.438,0.117,-0.032,-59.086,-41.082,0.274
1288,ZINC09336007,0,-73.881706,-5.7074885,125.29201,-12.14906,-36.071442,-96.883667,125.28789,-12.14906,-36.067245,-16.537256,125.29266,-12.14906,-36.069355,-7.6632032,125.16059,-9.4384537,-37.169567,-2.7772372,123.1956,-2.7772372,21.1065,0,42.8381,-8.3067,-29.4892,75.4845,0,-76.7922,2.7369,-3.2211,0,-75.1218,0.2572,28.8013,31.948,0.2642,2.8824,-159.74,29.7885,0.2666,0.81,-30.865,0.823,224.3628,1.4118,-5.955,-0.186,-0.591,-1.334,-5.955,-3.179,0,-0.285,-47.836,-3.849,0.545,-0.067,-68.064,-51.685,4.043
1289,ZINC09347737,0,-86.893021,-4.0806756,22.411959,-12.341784,-33.015675,-137.22386,22.4167,-12.341784,-33.013737,-20.05871,22.411772,-12.341784,-33.016357,-7.9988651,22.472883,-9.5183964,-33.988846,-2.5388556,7.4082704,-2.5388556,3.9946,5.7596,34.3278,-10.834,-38.1318,59.8517,1,-58.1807,1.9966,1.5554,-2,-58.8044,0.3958,23.9995,26.49,0.0898,2.4008,-132.45,26.7862,0.2112,0.1139,-27.1113,0.835,211.7753,2.3184,-4.743,-0.128,-0.427,-1.029,-4.743,-2.272,-0.011,-0.119,-35.43,-5.834,0.32,-0.014,-54.791,-41.264,3.179
1290,ZINC09347886,0,-76.31813,-5.5921326,-311.65857,-11.806506,-43.396126,-107.43765,-311.66028,-11.806506,-43.3974,-17.974554,-311.65781,-11.806506,-43.397293,-7.6052332,-311.64163,-11.847293,-44.137558,-3.0014758,-316.92554,-3.0014758,-10.0645,3.5445,35.1497,-0.359,-61.5809,71.8427,1.6849,-68.1452,0.6912,-5.1026,-1.9402,-62.8138,0.4046,32.0622,33.992,1.7055,0.2243,-169.96,29.0482,4.1011,0.1588,-33.3081,1.5797,214.6319,1,-6.561,-0.219,-0.68,-1.491,-6.561,-2.607,0,-1.496,-40.387,-4.397,0.329,-0.108,-64.637,-44.784,3.07
1291,ZINC09366371,0,-70.087784,-5.8711405,38.871918,-9.5470228,-41.431808,-109.85828,38.872585,-9.5470228,-41.432255,-16.349661,38.871868,-9.5470228,-41.431736,-7.5858274,38.903461,-8.8137255,-42.316383,-2.5929835,34.448334,-2.5929835,21.0616,0,29.2664,-8.0822,-11.0975,56.5375,0,-54.4646,2.0146,-5.1395,0,-50.6486,0.8522,20.6456,24.048,0.1503,3.2521,-120.24,29.6744,0.3392,1.5257,-31.5393,1.9793,200.4916,1.566,-5.983,-0.206,-0.634,-1.37,-5.983,-2.622,-0.478,-0.68,-27.542,-11.406,0.948,-0.063,-50.427,-38.948,7.17
1292,ZINC09368509,0,-85.810875,-4.4689217,46.161209,-9.3061247,-36.278324,-61.061253,46.161617,-9.3061247,-36.278927,-12.103325,46.159275,-9.3061247,-36.277973,-6.7921796,46.325825,-9.0571089,-37.674793,-2.8482692,42.320286,-2.8482692,18.6488,0.0504,30.1256,-7.5352,-15.2891,61.2077,0.816,-62.6184,0.9317,-7.6685,-1.5491,-54.8539,0.1152,23.3939,26.036,0.1906,2.4515,-130.18,29.3751,0.0228,0.5607,-29.9587,0.9996,208.5835,1.275,-5.679,-0.172,-0.552,-1.263,-5.679,-2.411,0,-0.361,-39.231,-9.323,0.572,-0.119,-63.246,-48.554,10.69
1293,ZINC09374736,0,-67.523338,-5.5932474,46.518166,-9.5372543,-33.290035,-73.940872,46.518082,-9.5372543,-33.29007,-10.044612,46.518158,-9.5372543,-33.290024,-6.9465499,46.558575,-9.8280649,-34.13784,-2.7449152,40.103951,-2.7449152,7.1301,0.6842,31.4549,-7.3629,-29.4416,65.4399,1.6028,-60.856,1.7396,-5.1396,-2.555,-55.0445,0.2148,28.1746,30.804,0.1303,2.4991,-154.02,30.0977,0.4775,0.709,-31.2843,0.8901,230.5066,1.6164,-5.705,-0.204,-0.619,-1.317,-5.705,-1.633,-0.293,-0.883,-28.559,-13.805,0.703,-0.1,-54.112,-42.364,9.649
1294,ZINC09376813,0,-48.753548,-5.9448762,8.3881378,-10.719247,-33.886723,-108.08039,8.387969,-10.719247,-33.888485,-16.740067,8.3892727,-10.719247,-33.888062,-7.0744138,8.4271517,-9.7532787,-35.464764,-2.8684413,-16.816782,-2.8684413,43.1395,0,38.6943,-2.195,-7.8701,60.9618,0,-61.0262,0.0471,-5.9437,-1,-54.1042,0.15,29.8698,30.332,0.1414,0.3207,-151.66,30.7495,0.3305,0.3962,-31.4762,0.9691,227.6516,1.514,-7.076,-0.244,-0.75,-1.62,-7.076,-2.667,-0.124,-0.658,-40.239,-12.788,0.448,-0.145,-74.11,-53.027,6.237
1295,ZINC09382623,0,-68.812057,-6.3158998,121.10803,-11.389702,-30.829073,-111.52007,121.10799,-11.389702,-30.829319,-19.383738,121.10725,-11.389702,-30.829256,-7.479569,121.14598,-10.288856,-31.152048,-2.8353729,111.50784,-2.8353729,5.6466,0,46.8266,-6.6199,-52.12,61.3521,0,-70.3506,3.7993,-7.4346,-0.5276,-65.3071,0.1582,23.4552,30.528,1.3611,5.7117,-152.64,33.8757,1.0377,3.5076,-38.421,0.984,286.6842,1.5186,-6.714,-0.217,-0.68,-1.514,-6.714,-3.555,-0.141,-0.296,-45.717,-5.295,0.454,-0.094,-66.391,-51.011,16.653
1296,ZINC09382681,0,-101.91135,-5.7118492,112.1589,-12.096771,-41.244568,-102.97638,112.16373,-12.096771,-41.246964,-17.295696,112.1605,-12.096771,-41.244289,-7.7718844,112.18307,-10.662615,-41.183201,-2.7282438,107.49791,-2.7282438,20.052,0,38.1339,-5.6009,-26.7812,51.8094,0,-53.742,2.921,-1.6326,-0.2849,-52.9733,0.1152,24.3783,31.396,3.7885,3.2292,-156.98,31.4483,3.9477,0.7281,-36.124,0,301.6344,1.8153,-6.244,-0.189,-0.607,-1.389,-6.244,-2.729,0,-0.439,-45.874,-8.261,0.507,-0.051,-77.086,-54.135,6.877
1297,ZINC09385769,0,-95.849602,-6.5301147,48.286182,-11.815037,-41.927807,-111.40491,48.28727,-11.815037,-41.927597,-21.555984,48.287094,-11.815037,-41.927731,-8.476491,48.280682,-9.8961821,-42.687569,-2.6326656,37.030605,-2.6326656,19.3389,0,41.1327,-12.895,-24.3235,74.0991,0,-77.0997,4.6488,-4.7958,0,-73.7721,0.1566,23.592,31.242,2.7182,4.9318,-156.21,34.1029,3.3747,0.6971,-38.1748,1.9731,256.6474,1.5325,-6.893,-0.23,-0.714,-1.566,-6.893,-3.259,0,-0.469,-44.288,-9.343,0.602,-0.151,-77.621,-53.631,7.793
1298,ZINC09386403,0,-73.454773,-6.2636118,-7.635674,-12.551848,-41.436207,-94.934807,-7.6293879,-12.551848,-41.436535,-20.06901,-7.6357365,-12.551848,-41.436012,-8.0167809,-7.6234713,-10.528476,-42.288914,-2.6432238,-17.077908,-2.6432238,17.6325,0,43.348,-6.5643,-35.4068,80.217,0,-82.3847,2.8734,-6.9099,0,-76.0531,0.2386,28.7652,33.374,0.2111,4.3977,-166.87,27.5777,0.3116,1.9522,-29.8414,0,250.5373,1.9342,-6.381,-0.206,-0.647,-1.439,-6.381,-3.245,0,-0.656,-46.697,-5.025,0.654,-0.045,-64.432,-51.722,20.556
1299,ZINC09386966,0,-56.606407,-4.6688447,86.778671,-12.260014,-39.560863,-117.00455,86.753571,-12.260014,-39.538967,-19.712757,86.780403,-12.260014,-39.562138,-8.026433,86.714371,-9.9659796,-40.330467,-2.7008734,79.80706,-2.7008734,27.4666,0.6083,31.208,-12.7145,-3.3382,60.7412,0.0211,-64.7663,4.2884,-0.7209,0,-66.6209,0.528,21.5493,26.816,0.9518,4.3149,-134.08,27.3586,0.1198,0.8675,-28.346,0,224.9905,1.3507,-6.103,-0.21,-0.647,-1.397,-6.103,-1.389,-0.042,-0.685,-39.095,-15.623,0.532,-0.221,-72.007,-54.717,17.797
1300,ZINC09387280,0,-95.819756,-5.0921097,142.99754,-10.91419,-39.047718,-105.85017,142.99179,-10.91419,-39.042992,-20.027622,142.99721,-10.91419,-39.047531,-7.4474263,142.81894,-10.181319,-39.487556,-2.601006,122.67631,-2.601006,0.685,1.7556,43.2577,-11.3189,-49.231,65.9737,0.8736,-64.4519,3.2277,-3.3384,-1,-61.6257,0.4146,21.7311,31.742,3.4169,6.5939,-158.71,23.643,3.2352,2.7237,-29.6019,0,242.6155,1.6657,-5.99,-0.193,-0.607,-1.351,-5.99,-2.954,0,-0.93,-43.556,-2.905,0.565,-0.057,-60.89,-46.461,12.608
1301,ZINC09387502,0,-91.039093,-5.5924873,95.498421,-13.780994,-31.879698,-121.25919,95.496895,-13.780994,-31.880377,-20.303213,95.499077,-13.780994,-31.880472,-8.1189566,95.515968,-9.9890356,-32.052475,-2.7008734,80.822029,-2.7008734,36.4694,1.1759,41.6225,-10.7982,-11.1392,65.4822,0.3177,-67.4351,4.0281,1.8857,-1.2213,-69.2239,0.0984,24.6276,28.384,0.0278,3.7286,-141.92,28.827,0.3895,0.4135,-29.63,1.395,196.1424,1.3507,-6.925,-0.239,-0.734,-1.586,-6.925,-3.432,0,-0.798,-42.286,-6.825,0.532,-0.088,-71.642,-49.111,5.563
1302,ZINC09387595,0,-57.778732,-6.562737,21.260983,-12.278757,-44.487637,-110.53175,21.260828,-12.278757,-44.487522,-18.085949,21.258989,-12.278757,-44.485947,-7.845016,21.331823,-11.2324,-45.903973,-2.7114313,20.608023,-2.7114313,41.6768,0,40.8105,-7.7299,-6.7078,71.3229,0,-72.6366,2.3982,-9.3597,0,-63.836,0.2026,23.0265,30.45,2.186,5.2374,-152.25,29.4655,2.1171,2.4396,-34.0222,1.9717,227.7412,1.8316,-6.32,-0.211,-0.655,-1.436,-6.32,-3.089,-0.078,-0.288,-44.999,-6.969,0.547,-0.116,-74.148,-51.968,6.545
1303,ZINC09388478,0,-91.332855,-6.4179835,-10.681448,-12.886803,-41.822697,-137.93019,-10.686152,-12.886803,-41.810699,-21.902008,-10.683182,-12.886803,-41.821632,-8.2705755,-10.285764,-9.3951235,-43.7967,-2.6183817,-23.853413,-2.6183817,31.1057,0,43.7613,-5.5946,-23.4714,77.4192,0,-79.1489,2.2329,-6.8384,0,-73.4092,0.1784,35.6547,40.194,1.4597,3.0796,-200.97,33.976,0.8352,0.45,-35.2611,0,287.0259,1.4847,-7.111,-0.229,-0.721,-1.604,-7.111,-3.815,-0.106,-0.46,-48.334,-5.48,0.59,-0.081,-74.307,-53.815,7.83
1304,ZINC09409938,0,-85.174965,-3.9082613,25.255045,-10.086645,-32.890675,-80.083755,25.25132,-10.086645,-32.890339,-14.702085,25.253119,-10.086645,-32.88913,-7.2095051,25.158077,-8.974124,-33.327492,-2.3516929,16.019127,-2.3516929,16.2912,0,37.7471,-6.5096,-29.1014,73.8992,1,-73.7224,2.4552,-6.2279,-1,-68.345,0.2572,24.8736,25.708,0.046,0.7884,-128.54,26.655,0.1329,0.3082,-27.0961,0.9968,205.4968,2.2486,-4.608,-0.132,-0.431,-1.011,-4.608,-2.364,-0.32,-0.056,-38.022,-4.764,0.749,-0.001,-52.331,-42.786,5.284
1305,ZINC09410891,0,-72.829239,-5.3304772,117.8557,-12.787637,-37.934116,-104.61744,117.8575,-12.787637,-37.934082,-14.426569,117.85987,-12.787637,-37.936119,-7.44876,117.8251,-10.069388,-39.038681,-2.8379648,102.85748,-2.8379648,-4.7124,0,29.5403,-13.2983,-32.032,50.975,0,-53.0405,2.5253,-6.4384,-1.0763,-43.8528,0.2871,35.4654,39.538,0.4836,3.589,-197.69,29.3013,1.129,1.9756,-32.4058,0.989,243.9218,1.9204,-6.986,-0.225,-0.708,-1.576,-6.986,-2.294,-0.5,-0.464,-32.944,-16.621,0.428,-0.016,-73.754,-49.566,5.192
1306,ZINC09410892,0,-103.79803,-5.0635753,116.34623,-10.645823,-38.263687,-104.49936,116.34933,-10.645823,-38.250729,-14.276887,116.34452,-10.645823,-38.260098,-7.2271099,116.34345,-11.708355,-39.110294,-2.8379648,102.78472,-2.8379648,29.8768,0.8311,36.2178,-11.1591,-9.5946,61.4553,1,-59.6103,2.6928,-5.6902,-1,-53.7315,0.0995,30.8639,35.096,0.494,3.7381,-175.48,29.5519,2.4725,1.8622,-33.8866,1.759,234.5977,1.9204,-6.802,-0.219,-0.689,-1.534,-6.802,-2.219,-0.507,-0.389,-35.615,-15.56,0.428,-0.001,-74.215,-51.175,2.272
1307,ZINC09413709,0,-87.844971,-5.2516723,79.847862,-10.664933,-44.498051,-127.16759,79.848892,-10.664933,-44.499729,-19.62941,79.848358,-10.664933,-44.497696,-8.0317621,79.857323,-10.294381,-45.325279,-2.8287239,72.868446,-2.8287239,53.0299,0,42.5614,-11.2301,5.738,73.0948,0,-76.4652,2.8009,-8.393,0,-69.3486,0.2051,23.4636,31.65,4.9454,3.241,-158.25,31.1878,4.3344,0.2357,-35.7579,0,258.7852,0,-7.668,-0.274,-0.832,-1.77,-7.668,-3.424,0,-1.548,-48.829,-4.517,0.422,0,-72.782,-53.346,5.507
1308,ZINC09415640,0,-75.553444,-4.6085534,44.337887,-10.012821,-36.696377,-93.525909,44.333504,-10.012821,-36.691479,-11.89071,44.338482,-10.012821,-36.697861,-7.2820983,44.44862,-9.5377007,-37.721561,-2.8794007,41.399773,-2.8794007,13.9828,0,26.424,-22.7223,0.372,49.9607,0,-51.7466,5.0841,-5.5444,0,-46.8269,0.3084,18.1854,23.208,0.2201,4.8024,-116.04,23.1909,0.0435,0.0971,-23.3315,0.9395,147.6381,1,-5.448,-0.176,-0.552,-1.229,-5.448,-2.221,-0.082,-0.563,-44.702,-5.165,0.526,-0.097,-64.075,-49.867,5.707
1309,ZINC09415722,0,-78.175766,-5.6750722,62.858311,-10.81153,-33.895313,-112.12888,62.856575,-10.81153,-33.894035,-17.603506,62.853985,-10.81153,-33.885212,-7.3407278,62.810753,-10.243385,-34.144291,-2.8301749,59.821743,-2.8301749,30.4968,1.6448,35.3833,-19.4611,-0.3388,63.8298,0.784,-64.4439,5.5347,-4.5765,-1,-61.2712,1.7212,19.8405,27.46,0.4889,7.1306,-137.3,26.3276,0.1162,2.3564,-28.8003,0.9934,192.839,1,-4.676,-0.156,-0.484,-1.062,-4.676,-1.994,-0.058,-0.294,-39.217,-4.691,0.459,-0.124,-54.781,-43.908,4.309
1310,ZINC09419111,0,-55.675686,-5.8587103,-40.989712,-10.362861,-33.056736,-84.060013,-40.98975,-10.362861,-33.06609,-15.249396,-40.98999,-10.362861,-33.058487,-7.2098145,-40.981728,-10.760983,-33.684498,-2.8177598,-50.186279,-2.8177598,56.3884,1.9685,41.1908,-7.2311,5.0136,67.9381,1.365,-64.7758,2.6406,0.7778,-1.3653,-64.0667,0.2623,22.5826,27.794,0.1,5.1114,-138.97,25.1647,0.0821,1.6252,-26.872,1.735,164.6945,1.4344,-6.297,-0.21,-0.652,-1.431,-6.297,-2.412,0,-1.679,-38,-6.183,0.623,-0.001,-63.599,-44.182,6.281
1311,ZINC09419850,0,-66.396477,-5.7797599,12.273389,-11.851023,-22.302223,-112.17704,12.273447,-11.851023,-22.304316,-16.202654,12.273254,-11.851023,-22.301258,-6.9575453,12.171328,-9.1247387,-22.828894,-2.7482116,0.28644466,-2.7482116,30.9374,1.5534,35.0831,-8.315,-10.5402,64.6241,0.9263,-62.1712,1.0531,-7.0585,-1.0419,-56.0316,0.0884,28.8484,30.236,0.2202,1.1674,-151.18,29.1226,0.1368,0.3403,-29.5996,0.8758,211.3162,1.3787,-5.431,-0.194,-0.589,-1.254,-5.431,-2.254,-0.149,-0.617,-38.346,-5.189,0.352,-0.067,-57.321,-43.535,4.049
1312,ZINC09420587,0,-80.477852,-4.7308841,60.364647,-8.937089,-28.266026,-77.268402,60.36166,-8.937089,-28.263035,-13.586879,60.365738,-8.937089,-28.266943,-6.047389,60.662994,-9.8165445,-29.852453,-3.0014758,52.621647,-3.0014758,50.4559,0,37.3621,-2.6932,1.7763,57.0658,0,-57.2609,0.2224,-6.7851,0,-53.0384,1.9552,22.4791,23.832,0.2138,1.1391,-119.16,26.6214,0.0057,0.0678,-26.6949,0.9934,174.8443,1,-4.64,-0.172,-0.516,-1.08,-4.64,-1.933,0,-0.855,-42.486,0.278,0.25,-0.019,-52.594,-42.208,2.288
1313,ZINC09420867,0,-53.839108,-6.487329,40.686222,-13.15527,-38.665993,-128.52435,40.684937,-13.15527,-38.665771,-20.535919,40.686275,-13.15527,-38.666134,-7.3612967,40.668545,-10.102163,-39.247829,-2.8738859,28.049616,-2.8738859,-0.6972,0,32.3387,-6.5404,-38.6226,58.093,0,-59.2217,1.4015,-7.3012,0,-52.4998,0.1184,32.4949,33.396,0.1158,0.7853,-166.98,27.7366,0.1138,0.4686,-28.319,0,230.1455,1.5969,-6.266,-0.232,-0.696,-1.459,-6.266,-3.209,-0.2,-0.919,-45.662,-3.294,0.925,-0.085,-68.803,-48.956,3.836
1314,ZINC09421872,0,-70.279236,-4.5856795,37.395985,-9.5791206,-29.787743,-102.74688,37.396412,-9.5791206,-29.78611,-18.168596,37.393734,-9.5791206,-29.78359,-6.9250636,37.449421,-9.4336586,-30.700159,-2.9083416,14.453795,-2.9083416,34.2534,0,31.527,-6.7244,-2.3718,44.2501,0,-47.692,1.7224,-6.4711,-1,-40.945,0.2109,19.3568,22.99,3.3082,0.3249,-114.95,24.4031,3.2756,0.3181,-27.9969,0,217.7706,1.1571,-4.617,-0.192,-0.555,-1.105,-4.617,-1.912,-0.127,-1.054,-25.428,-4.148,0.478,-0.108,-36.364,-29.576,2.885
1315,ZINC09435295,0,-51.38493,-4.6845222,156.95657,-10.924095,-33.083611,-72.321526,156.95917,-10.924095,-33.085484,-9.6110525,156.95612,-10.924095,-33.083843,-7.041503,156.91071,-10.81879,-33.91053,-2.6781304,131.50815,-2.6781304,-6.3091,2.293,32.8507,-11.1619,-42.6098,63.1819,1,-61.5043,3.0627,-3.8711,-1,-57.7816,0.3516,17.8842,28.888,4.3912,6.6126,-144.44,26.5272,4.37,4.1618,-35.0591,1.5912,240.6436,1.5199,-5.334,-0.157,-0.508,-1.178,-5.334,-1.787,-0.16,-0.228,-45.381,-8.678,0.426,-0.015,-70.967,-54.058,4.654
1316,ZINC09435435,0,-90.909851,-5.3430338,63.809174,-9.4904184,-33.291996,-89.438225,63.810448,-9.4904184,-33.293991,-14.777011,63.808998,-9.4904184,-33.292255,-6.7344704,63.784927,-9.7862473,-32.897343,-2.8285408,57.097515,-2.8285408,33.328,0,32.5275,-6.5588,-4.8386,45.2175,0,-45.4171,2.4123,-4.8156,0,-42.2725,0.0505,14.5825,23.526,3.7153,5.2283,-117.63,27.0872,4.4116,1.5791,-33.0779,1.9433,202.2838,1,-4.163,-0.13,-0.413,-0.932,-4.163,-1.752,-0.129,-0.296,-37.96,-2.438,0.289,-0.011,-50.488,-40.398,1.21
1317,ZINC09439176,0,-88.486603,-6.5844398,-44.32196,-12.174492,-50.393757,-130.66341,-44.321144,-12.174492,-50.394588,-19.501871,-44.32938,-12.174492,-50.397633,-8.5096455,-44.160343,-11.31267,-50.964912,-2.7291453,-57.473221,-2.7291453,7.8838,0.2357,35.2928,-10.2599,-30.6195,63.3276,0.4713,-62.7714,2.4544,-1.3012,-0.626,-63.6663,0.1143,29.2887,33.102,1.8037,2.0096,-165.51,26.6205,1.6935,0.2509,-28.5649,0,241.4345,2.0168,-7.087,-0.221,-0.703,-1.587,-7.087,-2.199,-0.445,-1.374,-43.252,-9.908,0.59,-0.01,-71.713,-53.16,13.085
1318,ZINC09442806,0,-71.58857,-4.8784842,-30.891562,-10.095802,-40.5695,-103.54565,-30.890636,-10.095802,-40.569054,-14.722145,-30.893185,-10.095802,-40.568363,-7.3807788,-30.83419,-9.2676487,-41.460793,-2.5565624,-42.608246,-2.5565624,32.8729,0,30.6297,-11.6496,2.4067,61.0759,0,-62.8381,2.0745,-8.2482,-1,-55.025,0.4715,19.5785,22.6,0.0482,2.9733,-113,23.8176,0.1808,1.0397,-25.0381,2.7001,127.0107,1.6877,-5.932,-0.212,-0.643,-1.369,-5.932,-2.813,-0.14,-0.312,-44.856,-4.591,0.346,-0.082,-64.533,-49.447,5.431
1319,ZINC09442913,0,-70.201752,-3.3329439,21.333948,-10.067198,-33.319801,-85.680939,21.346945,-10.067198,-33.296539,-12.153672,21.325478,-10.067198,-33.32943,-6.9718962,21.642134,-9.4739685,-33.986263,-2.5279806,7.2137403,-2.5279806,34.706,0.14,41.6083,-11.3433,-11.302,85.2025,1,-84.5421,2.5105,-8.3508,-2.8001,-74.9037,0.367,31.9185,35.258,0.1649,3.1745,-176.29,28.6268,0.3155,0.1585,-29.1008,0.8912,206.7777,1.3862,-5.778,-0.181,-0.573,-1.294,-5.778,-2.768,-0.077,-0.191,-49.755,-5.87,0.752,-0.126,-73.227,-55.625,8.346
1320,ZINC09448367,0,-84.364983,-4.8584199,134.96342,-10.06922,-27.272837,-101.11179,134.96083,-10.06922,-27.276012,-14.004116,134.96828,-10.06922,-27.281071,-6.7804103,134.75359,-10.2844,-27.867504,-2.7845411,123.42148,-2.7845411,30.7244,1.8788,39.1548,-10.3459,-14.6464,61.8234,1,-59.2665,2.8043,-3.0142,-3,-54.8796,1.6643,27.3973,32.154,1.7717,2.9851,-160.77,21.8044,1.9595,0.6063,-24.3702,0.9171,164.2726,1.3253,-5.525,-0.178,-0.56,-1.246,-5.525,-1.919,0,-0.228,-39.465,-10.009,0.352,-0.255,-60.641,-49.473,12.17
1321,ZINC09460278,0,-74.267395,-5.6777492,28.489897,-10.921283,-37.940243,-126.55105,28.49226,-10.921283,-37.943249,-18.480484,28.490044,-10.921283,-37.940567,-8.0956097,28.514074,-9.3832865,-38.575695,-2.7433093,14.279878,-2.7433093,45.2942,0,36.0921,-7.4131,3.0806,79.5564,0,-80.5457,0.9581,-7.4137,0,-74.914,0.2929,28.9034,31.652,1.1224,1.6262,-158.26,28.0453,1.1342,0.3633,-29.5428,0,237.6832,1.4634,-6.482,-0.24,-0.72,-1.509,-6.482,-3.856,0,-0.883,-43.611,-0.415,0.506,-0.007,-60.786,-44.027,3.67
1322,ZINC09460883,0,-53.167294,-4.7958441,136.91634,-10.701169,-38.887367,-98.839798,136.91785,-10.701169,-38.888187,-17.216293,136.91774,-10.701169,-38.890045,-7.9687629,136.98105,-9.0855942,-39.920361,-2.743542,109.92079,-2.743542,0.7374,0,33.9719,-3.8981,-42.0759,59.5651,0,-61.7105,1.4447,-1.3305,-0.5537,-60.8018,0.3612,21.4039,26.182,0.2615,4.5166,-130.91,25.2907,1.7622,1.9867,-29.0396,1.8264,184.2278,1.5997,-5.584,-0.199,-0.606,-1.289,-5.584,-2.755,0,-0.935,-40.196,-3.216,0.603,-0.004,-52.036,-43.412,10.306
